word,occurrence
aahed,1.85095045124317E-09
aalii,6.22447051140033E-10
aargh,2.15818844566396E-10
aarti,7.66833154320442E-10
abaca,6.32064556896564E-08
abaci,1.49205109312583E-08
aback,1.12618333503178E-06
abacs,8.74347121420617E-10
abaft,2.18161678568516E-07
abaka,2.93876928027557E-10
abamp,1.78128685446364E-10
aband,9.62800856733145E-08
abase,6.17710364991808E-08
abash,6.63191676993827E-08
abask,4.08158237977027E-11
abate,1.03613983583273E-06
abaya,2.61265123119036E-09
abbas,8.22009395559867E-08
abbed,6.7310541651117E-09
abbes,1.95379671576072E-08
abbey,1.43300385843759E-06
abbot,1.49648253909618E-06
abcee,2.09235873685914E-11
abeam,6.74361318005083E-08
abear,7.42714652109015E-09
abele,8.95150299312214E-09
abers,4.68315381219534E-09
abets,7.91584527020789E-08
abhor,3.67457298011686E-07
abide,3.37682373356074E-06
abies,4.26045617836384E-08
abled,8.85559484231635E-08
abler,7.9091675955895E-07
ables,2.68461900559531E-07
ablet,2.09524499898054E-08
ablow,2.79176031274424E-08
abmho,8.75411432246253E-11
abode,2.06971267061817E-06
abohm,2.5723813349186E-10
aboil,4.53123919166213E-09
aboma,9.32272211672503E-10
aboon,4.37147575138575E-08
abord,1.64692415353193E-07
abore,3.22370918105668E-07
abort,8.02741709549082E-07
about,0.001053331636358
above,0.0002410466049332
abram,1.98266676407851E-08
abray,1.16076205338172E-08
abrim,9.0905520258802E-10
abrin,5.00402613819387E-09
abris,4.83080336192667E-09
absey,5.37010259784448E-10
absit,4.09630326530647E-08
abuna,1.23630126656092E-08
abune,1.44948845441319E-08
abuse,3.56536227263859E-05
abuts,1.56150304739469E-07
abuzz,8.98439381812162E-09
abyes,7.01658522683352E-11
abysm,1.95295004576166E-08
abyss,1.60068306058747E-06
acais,9.41454023180193E-11
acari,1.59874792161362E-08
accas,3.07645528309897E-10
accoy,2.28341303877875E-10
acerb,2.68116535730701E-08
acers,1.18020815272389E-08
aceta,3.70582236766884E-09
achar,8.00966310440371E-09
ached,3.45544265348061E-07
aches,6.13077115023504E-07
achoo,8.83583965662819E-10
acids,1.01425099632393E-05
acidy,1.97768644671274E-09
acing,4.15214823574932E-08
acini,8.57178009136753E-08
ackee,2.38200553680662E-09
acker,2.67380303385313E-08
acmes,1.01909857743849E-08
acmic,1.74693473956098E-10
acned,1.74348674003619E-09
acnes,1.05950795154391E-08
acock,1.52005874041696E-08
acold,1.50025219612766E-08
acorn,4.21116470192828E-07
acred,7.33333951381703E-07
acres,3.21173613566445E-05
acrid,4.8304957374512E-07
acros,2.93637635766337E-08
acted,2.64866924497325E-05
actin,3.14025022102743E-07
acton,4.00644980917793E-08
